,Nombre,Codigo,Almacenamiento,Procesador,Memoria Ram,Precio,Fecha
4864,Notebook HP 14-ck2096la,2C3C5LA,Disco duro SATA de 500 GB y 5400 rpm,"Intel® Celeron® N4020 (frecuencia base de 1,1 GHz, frecuencia de ráfaga de hasta 2,8 GHz, 4 MB de caché L2 y 2 núcleos)",4 GB de RAM DDR4-2400 MHz (1 x 4 GB),Precio no especificado,2021-09-23
4865,Notebook HP 15-dw2039la,1A6E9LA,Disco duro SATA de 1 TB y 5400 RPM,"Intel® Core™ i7-1065G7 (frecuencia base de 1,3 GHz, hasta 3,9 GHz con tecnología Intel® Turbo Boost, 8 MB de caché, 4 núcleos)",8 GB de SDRAM DDR4-2666 (1 x 8 GB),Precio no especificado,2021-09-23
4866,Notebook HP 15-dy1064la,6QW58LA,Unidad de estado sólido Intel® de 256 GB,"Intel® Core™ i5-1035G1 (frecuencia base de 1,0 GHz, hasta 3,6 GHz con tecnología Intel® Turbo Boost, 6 MB de caché, 4 núcleos)",SDRAM DDR4-2666 de 8 GB (1 x 8 GB),Precio no especificado,2021-09-23
4867,Notebook HP Pavilion x360 Convertible 15-dq1003la,2B129LA,Unidad de estado sólido M.2 de 128 GB,"Intel® Core™ i5-10210U (frecuencia base de 1,6 GHz, base de hasta 4,2 GHz con tecnología Intel® Turbo Boost, 6 MB de caché y 4 núcleos)",8 GB de SDRAM DDR4-2666 (1 x 8 GB),Precio no especificado,2021-09-23
4868,Notebook HP 14-ck2091la,275K1LA,Unidad de estado sólido SATA M.2 de 128 GB,"Intel® Core™ i3-10110U (frecuencia base de 2,1 GHz, hasta 4,1 GHz con tecnología Intel® Turbo Boost, 4 MB de caché L3 y 2 núcleos)",4 GB de RAM DDR4-2666 MHz (1 x 4 GB),Precio no especificado,2021-09-23
4869,Notebook HP ENVY 13-ba1124la,2K6V7LA,Unidad de estado sólido Intel® PCIe® NVMe™ M.2 de 512 GB,Procesador no especificado,RAM DDR4-2666 MHz de 8 GB (integrada),Precio no especificado,2021-09-23
4870,Notebook HP 348 G7,2Q0D2LT,Disco duro SATA de 1 TB y 5400 RPM,"Intel® Core™ i5-10210U (frecuencia base de 1,6 GHz, hasta 4,2 GHz con tecnología Intel® Turbo Boost, 6 MB de caché L3 y 4 núcleos)",4 GB de RAM DDR4-2666 MHz (1 x 4 GB),Precio no especificado,2021-09-23
4871,Notebook HP ZBook Power G7,2S4Y8LA,Unidad de estado sólido PCIe® NVMe™ TLC M.2 de 1 TB,"Intel® Core™ i9-10885H (frecuencia base de 2,4 GHz, hasta 5,3 GHz con tecnología Intel® Turbo Boost, 16 MB de caché L3 y 8 núcleos)",16 GB de RAM DDR4-3200 MHz (1 x 16 GB),Precio no especificado,2021-09-23
4872,Notebook HP Pavilion x360 Convertible 14-dh1032la,275K7LA,Unidad de estado sólido PCIe® NVMe™ M.2 de 256 GB,"Intel® Core™ i3-10110U (frecuencia base de 2,1 GHz, hasta 4,1 GHz con tecnología Intel® Turbo Boost, 4 MB de caché L3 y 2 núcleos)",4 GB de RAM DDR4-2666 MHz (1 x 4 GB),Precio no especificado,2021-09-23
4873,Notebook HP 15-da2034la,2M6M1LA,Disco duro SATA de 1 TB y 5400 RPM,"Intel® Pentium® Gold 6405U (frecuencia base de 2,4 GHz, 2 MB de caché L3, 2 núcleos)",8 GB de RAM DDR4-2666 MHz (1 x 8 GB),Precio no especificado,2021-09-23
4874,Notebook HP 14-cf3028la,171V1LA,Disco duro SATA de 1 TB y 5400 RPM,"Intel® Core™ i5-1035G1 (frecuencia base de 1,0 GHz, hasta 3,6 GHz con tecnología Intel® Turbo Boost, 6 MB de caché L3 y 4 núcleos)",4 GB de SDRAM DDR4-2666 (1 x 4 GB),Precio no especificado,2021-09-23
4875,Notebook HP 14-cf2087la,310H3LA,Unidad de estado sólido SATA M.2 de 128 GB,"Intel® Celeron® N4020 (frecuencia base de 1,1 GHz, frecuencia de ráfaga de hasta 2,8 GHz, 4 MB de caché L2 y 2 núcleos)",4 GB de RAM DDR4-2400 MHz (1 x 4 GB),Precio no especificado,2021-09-23
4876,Notebook HP Pavilion x360 Convertible 14-dw0005la,8VV69LA,Unidad de estado sólido M.2 PCIe® NVMe™ de 512 GB,"Intel® Core™ i7-1065G7 (frecuencia base de 1,3 GHz, hasta 3,9 GHz con tecnología Intel® Turbo Boost, 8 MB de caché L3 y 4 núcleos)",8 GB de SDRAM DDR4-3200 (1 x 8 GB),Precio no especificado,2021-09-23
4877,Notebook HP Pavilion 14-dv0001la,30A61LA,Unidad de estado sólido Intel® PCIe® NVMe™ M.2 de 512 GB,"Intel® Core™ i5-1135G7 (hasta 4,2 GHz con tecnología Intel® Turbo Boost, 8 MB de caché L3 y 4 núcleos)",8 GB de RAM DDR4-3200 MHz (2 x 4 GB),Precio no especificado,2021-09-23
4878,Notebook HP ENVY 13-ba1123la,2K6T1LA,Unidad de estado sólido PCIe® NVMe™ M.2 de 256 GB,"Intel® Core™ i5-1135G7 (hasta 4,2 GHz con tecnología Intel® Turbo Boost, 8 MB de caché L3 y 4 núcleos)",RAM DDR4-2666 MHz de 8 GB (integrada),Precio no especificado,2021-09-23
4879,Notebook HP 14-dq1016la,9UV94LA,Unidad de estado sólido PCIe® NVMe™ M.2 de 256 GB,"Intel® Core™ i3-1005G1 (frecuencia base de 1,2 GHz, hasta 3,4 GHz con tecnología Intel® Turbo Boost, 4 MB de caché, 2 núcleos)","12 GB de SDRAM DDR4-2666 (1 x 4 GB, 1 x 8 GB)",Precio no especificado,2021-09-23
4880,Notebook HP 15-dw2043la,9UV60LA,Unidad de estado sólido PCIe® NVMe™ M.2 de 256 GB,"Intel® Core™ i5-1035G1 (frecuencia base de 1,0 GHz, hasta 3,6 GHz con tecnología Intel® Turbo Boost, 6 MB de caché, 4 núcleos)",8 GB de SDRAM DDR4-2666 (1 x 8 GB),Precio no especificado,2021-09-23
4881,Notebook HP Pavilion 14-dv0005la,310G1LA,Unidad de estado sólido Intel® de 256 GB,"Intel® Core™ i5-1135G7 (hasta 4,2 GHz con tecnología Intel® Turbo Boost, 8 MB de caché L3 y 4 núcleos)",8 GB de RAM DDR4-3200 MHz (1 x 8 GB),Precio no especificado,2021-09-23
4882,Notebook HP Pavilion 14-dv0002la,309B1LA,Unidad de estado sólido (SSD) PCIe® NVMe™ M.2 de 1 TB,"Intel® Core™ i7-1165G7 (hasta 4,7 GHz con tecnología Intel® Turbo Boost, 12 MB de caché L3 y 4 núcleos)",16 GB de RAM DDR4-3200 MHz (1 x 16 GB),Precio no especificado,2021-09-23
4883,Notebook HP 240 G7,151D7LT,SATA de 1 TB y 5400 rpm,"Intel® Core™ i3-1005G1 (frecuencia base de 1,2 GHz, hasta 3,4 GHz con tecnología Intel® Turbo Boost, 4 MB de caché L3 y 2 núcleos)",4 GB de RAM DDR4-2666 MHz (1 x 4 GB),Precio no especificado,2021-09-23
4884,Notebook HP 15-dw1064la,2A4R3LA,Unidad de estado sólido SATA 3 TLC M.2 de 128 GB,"Intel® Core™ i7-10510U (frecuencia base de 1,8 GHz, hasta 4,9 GHz con tecnología Intel® Turbo Boost, 8 MB de caché L3 y 4 núcleos)","12 GB de RAM DDR4-2666 MHz (1 x 4 GB, 1 x 8 GB)",Precio no especificado,2021-09-23
4885,Notebook HP 14-cf2052la,299P8LA,Unidad de estado sólido PCIe® NVMe™ M.2 de 256 GB,"Intel® Core™ i3-10110U (frecuencia base de 2,1 GHz, hasta 4,1 GHz con tecnología Intel® Turbo Boost, 4 MB de caché L3 y 2 núcleos)",8 GB de RAM DDR4-2666 MHz (1 x 8 GB),Precio no especificado,2021-09-23
4886,Notebook HP 15-da1093la,18K56LA,Unidad de estado sólido M.2 de 256 GB,"Intel® Pentium® Gold 5405U (frecuencia base de 2,3 GHz, 2 MB de caché y 2 núcleos)",RAM DDR4-2133 MHz de 8 GB (1 x 8 GB),Precio no especificado,2021-09-23
4887,Notebook HP Pavilion Gaming 16-a0004la,190G0LA,Unidad de estado sólido M.2 PCIe® NVMe™ de 512 GB,"Intel® Core™ i7-10750H (frecuencia base de 2,6 GHz, hasta 5,0 GHz con tecnología Intel® Turbo Boost, 12 MB de caché L3 y 6 núcleos)","12 GB de SDRAM DDR4-2933 (1 x 4 GB, 1 x 8 GB)",Precio no especificado,2021-09-23
4888,Notebook HP 14-cf2051la,299P5LA,Unidad de estado sólido Intel® PCIe® NVMe™ M.2 de 256 GB,"Intel® Core™ i3-10110U (frecuencia base de 2,1 GHz, hasta 4,1 GHz con tecnología Intel® Turbo Boost, 4 MB de caché L3 y 2 núcleos)",4 GB de RAM DDR4-2666 MHz (1 x 4 GB),Precio no especificado,2021-09-23
4889,Notebook HP Pavilion x360 Convertible 14-dw0002la,8VV66LA,Unidad de estado sólido Intel® de 256 GB,"Intel® Core™ i5-1035G1 (frecuencia base de 1,0 GHz, hasta 3,6 GHz con tecnología Intel® Turbo Boost, 6 MB de caché L3 y 4 núcleos)",8 GB de SDRAM DDR4-3200 (1 x 8 GB),Precio no especificado,2021-09-23
4890,Notebook HP 15-dw1051la,2A4P8LA,Unidad de estado sólido PCIe® NVMe™ M.2 de 256 GB,"Intel® Core™ i5-10210U (frecuencia base de 1,6 GHz, hasta 4,2 GHz con tecnología Intel® Turbo Boost, 6 MB de caché L3 y 4 núcleos)",8 GB de RAM DDR4-2666 MHz (1 x 8 GB),Precio no especificado,2021-09-23
4891,Notebook HP 15-da1094la,18K57LA,Disco duro SATA de 500 GB y 5400 rpm,"Intel® Pentium® Gold 5405U (frecuencia base de 2,3 GHz, 2 MB de caché y 2 núcleos)",4 GB de RAM DDR4-2133 MHz (1 x 4 GB),Precio no especificado,2021-09-23
4892,Notebook HP 15-da0083la,9UV28LA,Disco duro SATA de 1 TB y 5400 RPM,"Intel® Pentium® Silver N5000 (frecuencia base de 1,1 GHz, frecuencia de ráfaga de hasta 2,7 GHz, 4 MB de caché L2 y 4 núcleos)",8 GB de RAM DDR4-2400 MHz (1 x 8 GB),Precio no especificado,2021-09-23
4893,Notebook HP 240 G7,151D9LT,SATA de 1 TB y 5400 rpm,"Procesador Intel® Core™ i5-1035G1 con gráficos Intel® UHD (frecuencia base de 1 GHz, hasta 3,6 GHz con tecnología Intel® Turbo Boost, 6 MB de caché y 4 núcleos)",4 GB de RAM DDR4-2666 MHz (1 x 4 GB),Precio no especificado,2021-09-23
4894,Notebook HP Pavilion 13-an1016la,2B111LA,Unidad de estado sólido PCIe® NVMe™ M.2 de 256 GB,"Intel® Core™ i7-1065G7 (frecuencia base de 1,3 GHz, hasta 3,9 GHz con tecnología Intel® Turbo Boost, 8 MB de caché L3 y 4 núcleos)",8 GB de RAM DDR4-2400 MHz (integrada),Precio no especificado,2021-09-23
4895,Notebook HP 240 G7 (27R70LT),27R70LT,Disco duro SATA de 500 GB y 5400 rpm,"Intel® Celeron® N4100 con gráficos Intel® UHD 600 (frecuencia base de 1,1 GHz, frecuencia de ráfaga de hasta 2,4 GHz, 4 MB de caché y 4 núcleos)",4 GB de SDRAM DDR4-2400 (1 x 4 GB),Precio no especificado,2021-09-23
4896,Notebook HP 240 G7,151D5LT,SATA de 1 TB y 5400 rpm,"Intel® Core™ i3-1005G1 (frecuencia base de 1,2 GHz, hasta 3,4 GHz con tecnología Intel® Turbo Boost, 4 MB de caché L3 y 2 núcleos)",4 GB de RAM DDR4-2666 MHz (1 x 4 GB),Precio no especificado,2021-09-23
4897,Notebook HP Pavilion Gaming 16-a0001la,165G0LA,Unidad de estado sólido Intel® de 512 GB,"Intel® Core™ i5-10300H (frecuencia base de 2,5 GHz, hasta 4,5 GHz con tecnología Intel® Turbo Boost, 8 MB de caché L3 y 4 núcleos)",8 GB de SDRAM DDR4-2933 (1 x 8 GB),Precio no especificado,2021-09-23
4898,Notebook OMEN 15-ek0010la,15F21LA,Unidad de estado sólido Intel® de 512 GB,"Intel® Core™ i5-10300H (frecuencia base de 2,5 GHz, hasta 4,5 GHz con tecnología Intel® Turbo Boost, 8 MB de caché L3 y 4 núcleos)",8 GB de SDRAM DDR4-2933 (1 x 8 GB),Precio no especificado,2021-09-23
4899,Notebook HP 250 G7,153B5LT,SATA de 1 TB y 5400 rpm,"Procesador Intel® Core™ i3-1005G1 con gráficos Intel® UHD (frecuencia base de 1,2 GHz, hasta 3,4 GHz con tecnología Intel® Turbo Boost, 4 MB de caché y 2 núcleos)",4 GB de RAM DDR4-2666 MHz (1 x 4 GB),Precio no especificado,2021-09-23
4900,Notebook HP ENVY 15-ep0002la,2B132LA,Unidad de estado sólido Intel® de 512 GB,"Intel® Core™ i7-10750H (frecuencia base de 2,6 GHz, hasta 5,0 GHz con tecnología Intel® Turbo Boost, 12 MB de caché L3 y 6 núcleos)",16 GB de SDRAM DDR4-2933 (2 x 8 GB),Precio no especificado,2021-09-23
4901,Notebook HP ENVY 15-ep0001la,2B131LA,Unidad de estado sólido Intel® de 512 GB,"Intel® Core™ i7-10750H (frecuencia base de 2,6 GHz, hasta 5,0 GHz con tecnología Intel® Turbo Boost, 12 MB de caché L3 y 6 núcleos)",16 GB de SDRAM DDR4-2933 (2 x 8 GB),Precio no especificado,2021-09-23
4902,"HP LAPTOP 15-EF1018LA / AMD RYZEN™ 5 / 8GB RAM / 256GB SSD / AMD RADEON GRAPHICS / 15.6""",2000383107424,256 GB SSD,AMD Ryzen™ 5,8 GB,529990,2021-09-23
4903,"ASUS TUF GAMING F15 FX506LH / INTEL® CORE™ I5 / 8GB RAM / 512GB SSD / NVIDIA GEFORCE GTX 1650 / 15.6"" FHD",2000385135579,512 GB SSD,Intel Core i5,8 GB,799990,2021-09-23
4904,HP PAVILION X360 CONVERTIBLE 14-DY0501LA / INTEL® CORE™ I3 / 8GB RAM / 256GB SSD / INTEL UHD GRAPHICS / 14'',2000385847649,256 GB SSD,Intel Core i3,8 GB,609990,2021-09-23
4905,"ASUS LAPTOP E410MA-EK746T / INTEL® CELERON® / 4GB RAM / 64GB EMMC / INTEL UHD GRAPHICS 600 / 14"" FHD",2000385135562,64 GB eMMC,Intel Celeron,4 GB,279990,2021-09-23
4906,HP LAPTOP 14-DQ2026LA / INTEL® CORE™ I3 / 20GB MEMORIA (16GB INTEL OPTANE+4GB RAM) / 256GB SSD / INTEL UHD GRAPHICS /14'' FHD,2000385847632,256 GB SSD,Intel Core i3,4 GB,459990,2021-09-23
4907,"ASUS ZENBOOK 14 UM425 / AMD RYZEN™ 7 / 8GB RAM / 512GB SSD / AMD RADEON 7 / 14"" FHD",2000385400394,512 GB SSD,AMD Ryzen™ 7,8 GB,749990,2021-09-23
