,Codigo,Memoria Ram,Fecha,Precio,Almacenamiento,Nombre,Modelo,Procesador
703,2320037,Memoria Ram no especificada,2021-09-30,529000,Almacenamiento no especificado,NOTEBOOK LENOVO IDEAPAD 3 TOUCH INTEL CORE I3-10110U 15.6' HD 8GB - 256GB PCIE SSD - WEBCAM - WINDOWS 10,IDEAPAD 3,Procesador no especificado
704,2321129,Memoria Ram no especificada,2021-09-30,649990,Almacenamiento no especificado,DELL INSPIRON 14-3493 14' HD/RAM 8GB /256 GB/REACONDICIONADO,Dell Inspiron 14-3493 14,Procesador no especificado
705,2321130,Memoria Ram no especificada,2021-09-30,649990,Almacenamiento no especificado,HP 15-DA3016CY /I5 -1035G1 /2TB/ 16 GB / REACONDICIONADO,HP Laptop 15-da3016cy,Procesador no especificado
706,2326861,4GB,2021-09-30,399990,128 GB,NOTEBOOK HP 14' N5030 4GB 128GB SSD W10 + MOUSE HP,N5030,Intel Pentium Silver
707,2327078,8GB,2021-09-30,549990,256 GB,NOTEBOOK LENOVO 15' TOUCH SCREEN I3 8GB 256GB SSD W10,TOUCHSCREEN,Intel Core i3
708,MPM00029021680,16GB,2021-09-30,539000,500 GB,NOTEBOOK DELL LATITUDE E5470 INTEL CORE I5 8GB 500GB WIN10 REACONDICIONADO GRADO A,Latitude E5470,Intel Core i5
709,MPM00029084738,Memoria Ram no especificada,2021-09-30,496000,Almacenamiento no especificado,NOTEBOOK HP ELITEBOOK 840 G3 14” INTEL CORE I5 8GB 240GB SSD WEBCAM WINDOWS 10 PRO REACONDICIONADO GRADO A,840 G3,Procesador no especificado
710,2333986,Memoria Ram no especificada,2021-09-30,649990,Almacenamiento no especificado,HP 15-DA3020CY / I5 1035G1/2TB SATA/RAM 12GB/,HP 15-da3020cy,Procesador no especificado
711,2079713,6GB,2021-09-30,299990,128 GB SSD,"NOTEBOOK CHUWI 2 EN 1 TOUCH HI10X, CELERON, 6GB RAM, 128GB EMMC,10.1, W10H | CHUWI",Hi10 X,Intel Celeron
712,2345614,Memoria Ram no especificada,2021-09-30,499990,Almacenamiento no especificado,HP ELITEBOOK X360 G2 I5-7300U/ 8GB /256 SSD/REACONDICIONADO,HP EliteBook x360 1030 G2,Procesador no especificado
713,2345615,Memoria Ram no especificada,2021-09-30,549990,Almacenamiento no especificado,.,DELL LATITUDE 7480,Procesador no especificado
714,2367595,8GB,2021-09-30,591990,256 GB,NOTEBOOK LENOVO IDEAPAD 3 15.6' - BLUE,Lenovo Ideapad 3 15.6'' - Touch Blue,Intel Core i3
715,2367596,8GB,2021-09-30,780990,256 GB,"LAPTOP ASUS VIVOBOOK R564DA-UH72T -PANTALLA TÁCTIL FHD DE 15,6'","Laptop Asus Vivobook R564DA-UH72T -Pantalla táctil FHD de 15,6''",AMD Ryzen™ 7
